name,university,summary,overview,duration,tuition_fees,rating
Bachelor of Accountancy,Nanyang Technological University,"The Bachelor of Accountancy programme at Nanyang Technological University is designed to provide students with a strong foundation in accounting and business. The programme focuses on developing students' technical and analytical skills, as well as their ability to communicate effectively and work collaboratively. Graduates of the programme are equipped to pursue careers in a variety of fields, including accounting, finance, and business consulting.
","The Bachelor of Accountancy programme at Nanyang Technological University is a four-year undergraduate degree programme that offers a comprehensive education in accounting and business. The programme comprises a total of 146 academic units and is divided into several categories, including University Core Curriculum, Business Core Curriculum, Accountancy Core Curriculum, Accountancy Electives, and General Electives.

The University Core Curriculum covers a range of essential skills that students need to excel in their academic and professional careers, including communication skills, critical thinking, and ethics. The Business Core Curriculum provides students with a broad understanding of the business environment, including courses in business law, economics, and management.

The Accountancy Core Curriculum is the heart of the programme and includes courses in areas such as financial accounting, management accounting, and auditing. Students are also required to complete Accountancy Electives, which allow them to specialize in areas such as taxation, financial statement analysis, and forensic accounting.

In addition, students are required to complete General Electives, which provide them with the opportunity to take courses offered by other schools and faculties within the university, allowing them to broaden their academic horizons.

To enhance students' professional development, the programme also includes a Professional Attachment Programme that provides them with practical work experience in the accounting and business fields. This programme is designed to equip students with the skills and knowledge they need to succeed in a variety of professional roles, including accounting, finance, and business consulting.

Overall, the Bachelor of Accountancy programme at Nanyang Technological University provides students with a comprehensive education in accounting and business and prepares them for success in the dynamic and challenging world of accounting and finance.",4,37800,36
Bachelor of Science in Mathematical Sciences,Nanyang Technological University,"The Bachelor of Science in Mathematical Sciences programme at Nanyang Technological University (NTU) provides students with a strong foundation in mathematical theory and its applications. Students will have the opportunity to study a range of topics such as algebra, calculus, statistics, and numerical analysis, among others. Graduates of this programme will be well-equipped to pursue careers in fields such as finance, data analysis, engineering, and research.","The Bachelor of Science in Mathematical Sciences programme offered by Nanyang Technological University (NTU) is a four-year undergraduate programme that aims to provide students with a comprehensive foundation in mathematical theory and its applications. The curriculum is designed to equip students with the necessary knowledge and skills in areas such as calculus, linear algebra, discrete mathematics, probability and statistics, differential equations, numerical analysis, real analysis, and abstract algebra.

In the first year, students are introduced to foundational courses such as Calculus and Linear Algebra, Discrete Mathematics, Mathematical Reasoning and Communication, and Physics. The second year of the programme builds on this foundation with courses such as Real Analysis, Abstract Algebra, Probability and Statistics, Differential Equations, and Numerical Analysis.

In the third year, students are exposed to more advanced topics such as Complex Analysis, Geometry, and Mathematical Modeling. Students also have the opportunity to choose from a range of elective courses, including Graph Theory, Topology, and Optimization. In the final year, students undertake a Project in Mathematical Sciences and continue to take elective courses in areas such as Cryptography, Financial Mathematics, and Computational Mathematics.

Throughout the programme, students are encouraged to participate in research projects and internships to gain practical experience in the field of mathematical sciences. Students are also required to take General Education courses in areas such as Writing and Reasoning, Humanities and Social Sciences, and Science and Technology. By the end of the programme, graduates will have developed a strong foundation in mathematics and will be well-equipped to pursue careers in fields such as finance, data analysis, engineering, and research.",4,33000,36
Bachelor of Science in Mathematical and Computer Sciences,Nanyang Technological University,"The Bachelor of Science in Mathematical and Computer Sciences programme at Nanyang Technological University provides students with a rigorous education in mathematics, computer science, and their applications. Through a blend of theory and practical applications, students develop the critical thinking and problem-solving skills necessary for a career in a wide range of fields, from finance and technology to engineering and research. Graduates of this programme are well-equipped to pursue advanced degrees or to begin careers in the ever-expanding fields of mathematics and computer science.","The Bachelor of Science in Mathematical and Computer Sciences programme at Nanyang Technological University is a four-year undergraduate programme that combines mathematics and computer science in a comprehensive manner. The programme is designed to provide students with a strong foundation in both disciplines, while also allowing them to specialize in areas of interest.

In the first two years, students take foundational courses in mathematics, computer science, and science. This includes courses in calculus, linear algebra, discrete mathematics, programming, algorithms, and data structures. Students are also required to take courses in physics, chemistry, and biology.

In the third and fourth years, students take advanced courses in mathematics and computer science. This includes courses in areas such as numerical analysis, graph theory, cryptography, database systems, artificial intelligence, and software engineering. Students can also choose to specialize in areas such as scientific computing, data science, or financial mathematics.

In addition to coursework, students are required to complete a capstone project in their final year. This involves working on a project under the supervision of a faculty member, and applying the knowledge and skills acquired throughout the programme to solve a real-world problem.

Overall, the Bachelor of Science in Mathematical and Computer Sciences programme provides students with a solid foundation in mathematics and computer science, and prepares them for careers in a variety of fields, including finance, technology, engineering, and research.",4,33000,36
Bachelor of Engineering in Computer Engineering,Nanyang Technological University,"The Bachelor of Engineering in Computer Engineering program at Nanyang Technological University (NTU) is a four-year undergraduate degree program that aims to provide students with an in-depth understanding of both computer science and electrical engineering. The program covers a broad range of topics, including digital and analog electronics, computer architecture, programming, computer networks, and operating systems. Graduates of the program are well-equipped to pursue careers in computer engineering, including roles such as computer hardware or software engineers, network architects, or systems integrators.","The Bachelor of Engineering in Computer Engineering program at Nanyang Technological University (NTU) is a four-year undergraduate degree program that focuses on providing students with a comprehensive understanding of both computer science and electrical engineering. The program covers a range of topics, including digital and analog electronics, computer architecture, programming, computer networks, and operating systems.

The syllabus for the Bachelor of Engineering in Computer Engineering program includes courses such as:

Digital Electronics
Analog Electronics
Computer Organization and Architecture
Programming Methodology
Data Structures and Algorithms
Operating Systems
Computer Networks
Computer System Design
The program is designed to equip graduates with the necessary skills and knowledge to design and develop computer hardware and software systems, as well as to integrate and interface computer systems with other engineering systems.

The Bachelor of Engineering in Computer Engineering program at NTU is a rigorous and challenging program that prepares graduates for careers in the field of computer engineering, including roles such as computer hardware or software engineers, network architects, or systems integrators.",4,33000,36
Bachelor of Engineering in Computer Science,Nanyang Technological University,"The Bachelor of Engineering in Computer Science program at Nanyang Technological University (NTU) is a four-year undergraduate degree program that provides students with both theoretical and practical knowledge in the field of computer science. The program covers a wide range of topics, including software development, algorithms, computer networks, databases, and information storage and management. Upon completion, graduates are equipped with the necessary skills and knowledge to design, develop, and manage complex computer systems and networks.","The Bachelor of Engineering in Computer Science program at Nanyang Technological University (NTU) is a four-year undergraduate degree program that focuses on providing students with practical and theoretical knowledge in computer science. The program covers a wide range of topics, including software development, algorithms, computer networks, databases, and information storage and management.

The program is divided into two components: core courses and electives. The core courses cover fundamental topics in computer science such as programming, algorithms and data structures, computer architecture, operating systems, and computer networks. The electives offer students the opportunity to explore topics outside of their core curriculum, such as artificial intelligence, computer graphics, and cybersecurity.

The syllabus for the Bachelor of Engineering in Computer Science program includes courses such as:

Introduction to Computer Science
Programming Methodology
Computer Organization and Architecture
Data Structures and Algorithms
Operating Systems
Computer Networks
Database Systems
Software Engineering

The Bachelor of Engineering in Computer Science program at NTU prepares students for a career in the rapidly evolving field of computer science, and provides them with the necessary skills and knowledge to design, develop, and manage complex computer systems and networks.",4,33000,36
Bachelor of Medicine and Bachelor of Surgery (MBBS),Nanyang Technological University,"The Bachelor of Medicine and Bachelor of Surgery (MBBS) program at Nanyang Technological University (NTU) is a five-year undergraduate medical degree program. It is divided into two phases, the first focusing on biomedical sciences and the second on clinical rotations in various specialties. The program covers a wide range of topics including anatomy, physiology, biochemistry, pharmacology, pathology, ethics, and various medical specialties.","The Bachelor of Medicine and Bachelor of Surgery (MBBS) program at Nanyang Technological University (NTU) is a five-year undergraduate medical degree program that aims to equip students with the knowledge and skills required to become competent doctors.

The program consists of two phases: Phase 1 and Phase 2. Phase 1, which spans the first two years, focuses on the biomedical sciences and aims to provide students with a solid foundation in anatomy, physiology, biochemistry, pharmacology, pathology, and microbiology. During this phase, students also engage in clinical skills training, communication skills training, and ethics training.

In Phase 2, which spans the next three years, students undertake clinical rotations in various specialties, including internal medicine, surgery, pediatrics, obstetrics and gynecology, psychiatry, and primary care. During this phase, students also engage in research projects and are exposed to a range of healthcare settings, including hospitals, clinics, and community healthcare facilities.

The syllabus for the MBBS program at NTU is extensive and covers a wide range of topics. Some of the key subjects covered in the program include:

Anatomy
Physiology
Biochemistry
Pharmacology
Microbiology
Pathology
Epidemiology and public health
Medical ethics and law
Internal medicine
Surgery
Pediatrics
Obstetrics and gynecology
Psychiatry
Primary care

Overall, the MBBS program at NTU is designed to provide students with a rigorous and comprehensive education in medicine and prepare them for a career as a medical practitioner.",5,75500,36
Bachelor of Science in Biological Sciences,Nanyang Technological University,"The Bachelor of Science in Biological Sciences program offered at Nanyang Technological University (NTU) is a four-year undergraduate degree that provides students with an in-depth education in the biological sciences. It consists of three main components - core courses, specialisation courses, and electives - and covers various subjects including cell biology, genetics, physiology, ecology, biotechnology, and environmental biology. The program aims to prepare students with the necessary knowledge and skills to pursue a career in fields such as biomedical sciences, biotechnology, and environmental sciences.","The Bachelor of Science in Biological Sciences program at Nanyang Technological University (NTU) is a four-year undergraduate degree program that provides students with a comprehensive education in the biological sciences. The program aims to equip students with the knowledge and skills needed to pursue a career in fields such as biotechnology, biomedical sciences, and environmental sciences.

The program is divided into three components: core courses, specialisation courses, and electives. The core courses cover a range of topics, including cell and molecular biology, genetics, physiology, and ecology. The specialisation courses allow students to focus on a particular area of interest, such as biotechnology, environmental biology, or neuroscience. The electives provide students with the flexibility to explore topics outside of their chosen specialisation.

The syllabus for the Bachelor of Science in Biological Sciences program includes courses such as:

Cell Biology
Genetics
Physiology
Ecology
Evolution
Biostatistics
Bioinformatics
Immunology
Microbiology
Environmental Biology
Neuroscience
Biotechnology

The Bachelor of Science in Biological Sciences program at NTU provides students with a strong foundation in the biological sciences and prepares them for a range of careers in fields such as biotechnology, biomedical sciences, and environmental sciences.",4,33000,36
Bachelor of Science in Chemistry and Biological Chemistry,Nanyang Technological University,"The Bachelor of Science in Chemistry and Biological Chemistry program offered at Nanyang Technological University (NTU) is a four-year undergraduate program that imparts a comprehensive knowledge of chemistry and biological chemistry to the students. The curriculum includes fundamental subjects such as organic chemistry, physical chemistry, biochemistry, and molecular biology as well as electives that provide students with the opportunity to explore other topics. The program is designed to equip graduates with the skills and knowledge to pursue a career in chemical research, biotechnology, pharmaceuticals, or environmental science.","The Bachelor of Science in Chemistry and Biological Chemistry program offered at Nanyang Technological University (NTU) is a four-year undergraduate degree program that provides students with a strong foundation in the fields of chemistry and biological chemistry. The program aims to equip students with the knowledge and skills needed to pursue a career in fields such as chemical research, biotechnology, pharmaceuticals, and environmental science.

The program is divided into two components: core courses and electives. The core courses cover a wide range of topics in chemistry and biological chemistry, including organic chemistry, inorganic chemistry, physical chemistry, biochemistry, and molecular biology. The electives provide students with the flexibility to explore topics outside of their core curriculum.

The syllabus for the Bachelor of Science in Chemistry and Biological Chemistry program includes courses such as:

General Chemistry
Organic Chemistry
Inorganic Chemistry
Physical Chemistry
Analytical Chemistry
Biochemistry
Molecular Biology
Medicinal Chemistry
Environmental Chemistry
Polymer Chemistry

The Bachelor of Science in Chemistry and Biological Chemistry program at NTU provides students with a comprehensive education in chemistry and biological chemistry and prepares them for a range of careers in fields such as chemical research, biotechnology, pharmaceuticals, and environmental science.",4,33000,36
Bachelor of Social Sciences in Psychology,Nanyang Technological University,"The Bachelor of Social Sciences in Psychology programme at Nanyang Technological University is a comprehensive and rigorous course designed to provide students with a strong foundation in psychology. Students will be exposed to various topics in psychology, such as social, abnormal, cognitive, developmental, and biological psychology, as well as research methodology and statistics. The programme aims to equip students with the skills and knowledge necessary for a wide range of careers in the field of psychology or further studies in graduate programmes.





","The Bachelor of Social Sciences in Psychology at Nanyang Technological University is a four-year program that provides a comprehensive understanding of human behavior and mental processes. The program aims to develop students' critical thinking and analytical skills while fostering their passion for psychological research.

The program structure includes a combination of core modules, electives, and research opportunities. Core modules cover foundational topics such as social psychology, abnormal psychology, developmental psychology, and cognitive psychology. Electives provide students with the flexibility to tailor their studies to their interests and include topics such as forensic psychology, positive psychology, and neuropsychology.

The program also includes research opportunities through the Final-Year Project, which allows students to conduct their research under the guidance of faculty members. Overall, the Bachelor of Social Sciences in Psychology program at NTU provides students with a strong foundation in psychology while allowing them to explore their interests and develop their research skills.

The syllabus for the Bachelor of Social Sciences in Psychology program at NTU includes core modules such as:

Introduction to Psychology
Social Psychology
Abnormal Psychology
Developmental Psychology
Cognitive Psychology
Statistics and Research Methodology

Elective modules cover topics such as:

Forensic Psychology
Positive Psychology
Neuropsychology
Health Psychology
Organizational Psychology

In the final year of the program, students are required to complete a Final-Year Project, which involves conducting independent research under the guidance of a faculty member.",4,33000,36
Bachelor of Social Sciences in Sociology,Nanyang Technological University,"The Bachelor of Social Sciences in Sociology program at NTU is designed to provide students with a deep understanding of social structures, institutions, and processes. The curriculum emphasizes both theoretical and practical approaches to sociology, with courses covering topics such as social theory, research methods, globalization, and urban studies. Students can also choose to specialize in areas such as criminology, gender studies, and medical sociology.","The Bachelor of Social Sciences (Hons) in Sociology programme at NTU aims to equip students with the skills and knowledge necessary to understand the complex social phenomena that shape our world. This programme offers a comprehensive understanding of social life, culture, and institutions, and provides students with the tools to analyze, critique, and transform social structures.

Syllabus:
The Bachelor of Social Sciences (Hons) in Sociology programme is divided into three components: Core Courses, Major Prescribed Electives (MPE), and General Prescribed Electives (GPE).

Core Courses:
The Core Courses aim to provide students with a strong foundation in sociology. The courses offered include Sociological Theories, Social Research Methods, Introduction to Statistical Analysis, and Qualitative Data Analysis. Students are also required to take courses in the areas of social inequality, globalization, and social change.

Major Prescribed Electives (MPE):
The MPE component allows students to specialize in specific areas of sociology. Students are required to take six MPE courses, which include Gender and Society, Sociology of Migration, Sociology of Health and Illness, and Sociology of Religion. These courses aim to provide students with a deeper understanding of the major issues and debates within their chosen area of specialization.

General Prescribed Electives (GPE):
The GPE component allows students to take courses outside of sociology, in order to broaden their knowledge and skills. Students are required to take five GPE courses, which can be chosen from a wide range of disciplines such as anthropology, psychology, economics, and political science.

In addition to the above components, students are also required to complete a Final Year Project, which involves conducting original research in an area of their choice under the supervision of a faculty member.

Overall, the Bachelor of Social Sciences (Hons) in Sociology programme at NTU offers a comprehensive and rigorous education in sociology, and prepares students for a wide range of careers in fields such as academia, public service, non-profit organizations, and private sector.



",4,33000,36
